,index,hotel,price,date,mean
148,23,Park Hotel am Berliner Tor,148.0,2021-08-06,
149,24,ibis Hamburg Alsterring,79.0,2021-08-06,
150,0,Hotel Rahlstedter Hof,49.0,2021-08-07,
151,"1,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 169,2021-08-07",,,,
152,2,Apartment-Hotel Hamburg Mitte,187.0,2021-08-07,
153,3,NH Collection Hamburg City,218.0,2021-08-07,
154,4,Hamburg Marriott Hotel,219.0,2021-08-07,
155,5,The Westin Hamburg,570.0,2021-08-07,
156,6,Hampton By Hilton Hamburg City Centre,170.0,2021-08-07,
157,7,Generator Hamburg,20.0,2021-08-07,
158,8,prizeotel Hamburg-City,123.0,2021-08-07,
159,9,Courtyard by Marriott Hamburg Airport,109.0,2021-08-07,
160,10,Super 8 by Wyndham Hamburg Mitte,144.0,2021-08-07,
161,"11,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 309,2021-08-07",,,,
162,12,Best Western Plaza Hotel Hamburg,97.0,2021-08-07,
163,13,Park Hotel am Berliner Tor,148.0,2021-08-07,
164,14,prizeotel Hamburg-St.Pauli,153.0,2021-08-07,
165,15,NH Hamburg Altona,152.0,2021-08-07,
166,16,ARCOTEL Onyx Hamburg,139.0,2021-08-07,
167,17,Ibis budget Hamburg City Ost,63.0,2021-08-07,
168,"18,""Radisson Blu Hotel, Hamburg Airport"",€ 169,2021-08-07",,,,
169,19,Park Hotel Hamburg Arena,117.0,2021-08-07,
170,20,NH Hamburg Horner Rennbahn,116.0,2021-08-07,
171,21,NH Hamburg Mitte,168.0,2021-08-07,
172,"22,""Radisson Blu Hotel, Hamburg"",€ 189,2021-08-07",,,,
173,23,Leonardo Hotel Hamburg Stillhorn,99.0,2021-08-07,
174,24,Hotel Domicil Hamburg by Golden Tulip,85.0,2021-08-07,
175,0,NewLivingHome Residenzhotel Hamburg,107.0,2021-08-09,
176,"1,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 169,2021-08-09",,,,
177,2,Apartment-Hotel Hamburg Mitte,83.0,2021-08-09,
178,3,Courtyard by Marriott Hamburg City,129.0,2021-08-09,
179,4,NH Collection Hamburg City,154.0,2021-08-09,
180,5,Le Méridien Hamburg,224.0,2021-08-09,
181,6,Ibis Hamburg City,88.0,2021-08-09,
182,7,Hamburg Marriott Hotel,189.0,2021-08-09,
183,8,Generator Hamburg,16.0,2021-08-09,
184,"9,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 139,2021-08-09",,,,
185,10,Courtyard by Marriott Hamburg Airport,109.0,2021-08-09,
186,11,Super 8 by Wyndham Hamburg Mitte,122.0,2021-08-09,
187,12,prizeotel Hamburg-City,104.0,2021-08-09,
188,13,prizeotel Hamburg-St.Pauli,89.0,2021-08-09,
189,14,Best Western Plaza Hotel Hamburg,96.0,2021-08-09,
190,15,ibis Hotel Hamburg Airport,67.0,2021-08-09,
191,"16,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 124,2021-08-09",,,,
192,17,NH Hamburg Altona,107.0,2021-08-09,
193,18,NH Hamburg Horner Rennbahn,92.0,2021-08-09,
194,19,ARCOTEL Onyx Hamburg,117.0,2021-08-09,
195,20,ibis budget Hamburg Altona,56.0,2021-08-09,
196,21,Leonardo Hotel Hamburg Airport,84.0,2021-08-09,
197,22,Leonardo Hotel Hamburg Stillhorn,84.0,2021-08-09,
198,23,Ibis budget Hamburg City Ost,56.0,2021-08-09,
199,24,INNSiDE by Meliá Hamburg Hafen,145.0,2021-08-09,
200,"0,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 179,2021-08-10",,,,
201,1,The Westin Hamburg,370.0,2021-08-10,
202,2,Le Méridien Hamburg,214.0,2021-08-10,
203,3,Renaissance Hamburg Hotel,179.0,2021-08-10,
204,4,Hamburg Marriott Hotel,199.0,2021-08-10,
205,5,Hampton By Hilton Hamburg City Centre,161.0,2021-08-10,
206,"6,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 139,2021-08-10",,,,
207,7,Generator Hamburg,18.0,2021-08-10,
208,8,Ibis Hamburg City,88.0,2021-08-10,
209,9,Courtyard by Marriott Hamburg Airport,109.0,2021-08-10,
210,10,Novotel Hamburg City Alster,129.0,2021-08-10,
211,11,Super 8 by Wyndham Hamburg Mitte,123.0,2021-08-10,
212,12,prizeotel Hamburg-St.Pauli,98.0,2021-08-10,
213,13,prizeotel Hamburg-City,123.0,2021-08-10,
214,14,Best Western Plaza Hotel Hamburg,94.0,2021-08-10,
215,15,NH Hamburg Altona,107.0,2021-08-10,
216,16,ibis Hotel Hamburg Airport,67.0,2021-08-10,
217,17,NH Hamburg Horner Rennbahn,96.0,2021-08-10,
218,"18,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 158,2021-08-10",,,,
219,19,ARCOTEL Onyx Hamburg,136.0,2021-08-10,
220,20,INNSiDE by Meliá Hamburg Hafen,155.0,2021-08-10,
221,21,ibis budget Hamburg Altona,56.0,2021-08-10,
222,22,Leonardo Hotel Hamburg Airport,79.0,2021-08-10,
223,23,Park Hotel am Berliner Tor,121.0,2021-08-10,
224,24,Leonardo Hotel Hamburg Stillhorn,84.0,2021-08-10,
225,0,Scandic Hamburg Emporio,118.0,2021-08-11,
226,1,NewLivingHome Residenzhotel Hamburg,119.0,2021-08-11,
227,2,Apartment-Hotel Hamburg Mitte,68.0,2021-08-11,
228,3,Renaissance Hamburg Hotel,209.0,2021-08-11,
229,4,Hamburg Marriott Hotel,199.0,2021-08-11,
230,5,Le Méridien Hamburg,214.0,2021-08-11,
231,6,Generator Hamburg,17.0,2021-08-11,
232,7,Courtyard by Marriott Hamburg Airport,109.0,2021-08-11,
233,8,Hampton By Hilton Hamburg City Centre,170.0,2021-08-11,
234,"9,""Holiday Inn Hamburg - City Nord, an IHG Hotel"",€ 104,2021-08-11",,,,
235,"10,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 139,2021-08-11",,,,
236,11,Ibis Hamburg City,93.0,2021-08-11,
237,12,Super 8 by Wyndham Hamburg Mitte,129.0,2021-08-11,
238,13,ibis Hotel Hamburg Airport,67.0,2021-08-11,
239,14,prizeotel Hamburg-City,123.0,2021-08-11,
240,15,Best Western Plaza Hotel Hamburg,97.0,2021-08-11,
241,16,Ibis budget Hamburg City Ost,59.0,2021-08-11,
242,17,prizeotel Hamburg-St.Pauli,153.0,2021-08-11,
243,18,NH Hamburg Altona,107.0,2021-08-11,
244,19,NH Hamburg Horner Rennbahn,97.0,2021-08-11,
245,20,ARCOTEL Rubin Hamburg,95.0,2021-08-11,
246,21,ibis Styles Hamburg Alster City,79.0,2021-08-11,
247,22,Leonardo Hotel Hamburg Airport,89.0,2021-08-11,
248,23,Leonardo Hotel Hamburg City Nord,94.0,2021-08-11,
249,24,Leonardo Hotel Hamburg Stillhorn,89.0,2021-08-11,
